  06 07 07    220   0  -23  -25  -24  -19  -17  -16  -16  -13  -10  -10  -11  -10  -10  -13  -17  -15  -15  -15  -14  -16  -19  -19  -20  -22  -16
  06 07 08    220   0  -24  -21  -18  -15  -13  -14  -15  -14  -13  -13  -14  -16  -14  -13  -12  -12  -12  -12  -15  -17  -17  -16  -15  -13  -15
  06 07 09    220   0  -12  -13  -13  -10   -9  -10  -10   -9   -6   -6   -6   -9  -11  -12   -9   -6   -8   -7  -10  -11  -12   -8   -3   -7   -9
  06 07 10    220   0   -7   -5   8  10   9  12  12  13  12  11   8   9   9   1   -9  -17  -20  -19  -15  -23  -24  -25  -27  -27   -4
  06 07 11    220   0  -24  -19  -14  -12   -9   -9   -6   -8   -6   -2   4   9  10  13  18  18  16  14  10   0   -8  -14  -12   -3   -1
  06 07 12    220   0   0   0   2   5   7   -1   -3   -1   -3   -7   -4   -9  -10   -7   -3   -4  -11  -15  -17  -19  -18  -20  -20  -18   -7
  06 07 13    220   0  -18  -16  -14  -13  -14  -16  -17  -14  -14  -13  -13  -11  -13  -14  -15  -17  -18  -16  -16  -17  -18  -19  -17  -14  -15
  06 07 14    220   0   -8   -5   -3   -2   0   2   2   2   3   3  13  13   7   1   -5   -9   -8  -18  -28  -34  -36  -33  -30  -29   -8
  06 07 15    220   0  -29  -28  -27  -29  -30  -28  -24  -19  -16  -13  -11  -15  -17  -15  -13  -12  -15  -17  -19  -22  -23  -23  -24  -24  -21
  06 07 16    220   0  -22  -18  -13   -9   -9  -10  -11  -10   -9   -7   -6   -5   -5   -6   -4   -4   -3   -2   -2   0   1   -2   -4   -6   -7
  06 07 17    220   0   -8  -11  -10  -10   -9   -5   -2   -2   -3   -2   2   2   2   -1   -4   -5   -6   -5   -5   -5   -5   -3   -4   -4   -4
  06 07 18    220   0   -4   -6   -7   -7   -4   -1   1   0   0   0   1   1   3   1   -1   -3   0   3   3   2   5   5   4   2   0
  06 07 19    220   0   -1   -2   -2   -1   1   0   1   2   2   3   4   3   2   2   4   4   4   6   9  10  10   7   6   4   3
  06 07 20    220   0   7  11  13  10  12  12  11   7   6   5   6  10  10   8   6   4   1   1   1   2   6   5   3   3   7
  06 07 21    220   0   3   2   3   3   2   2   3   4   3   6   6   6   5   6   6   6   7   5   5   6   6   4   5   7   5
  06 07 22    220   0   7   8  11  10   7   5   2   1   -1   3   5   7   7   7   8   6   6   5   6   7   8   7   5   6   6
  06 07 23    220   0   -3   -2   3   8  11   8   6   4   5   4   3   3   5   5   6   7   7   7   8   9  11  10   7   3   6
  06 07 24    220   0   6   8  13  14  13  14  14  13   6   6   6   7   4   1   -2   -5   -7   -8   -6   -3   0   0   -2   -2   4
  06 07 25    220   0   -2   -4  -10   -9   -9   -5   -3   -6   -6   -4   -3   -2   -2   0   2   3   3   3   5   3   3   -1   -4   -9   -2
  06 07 26    220   0  -11   -9   -6   -6   -7   -2   -1   1   2   3   4   4   3   5   5   5   3   3   2   4   6   2   -2   -4   0
  06 07 27    220   0   -5   -2   4   8   7   5   3   1   0   2   5   6   5   6  17  21  23  23  25  22  20   8  -10   -8   8
  06 07 28    220   0   2   2  -21  -38  -48  -46  -42  -41  -37  -37  -26  -26  -37  -32  -30  -28  -26  -24  -24  -24  -24  -26  -28  -28  -29
  06 07 29    220   0  -28  -26  -21  -21  -23  -24  -24  -24  -23  -22  -21  -22  -24  -23  -20  -16  -17  -16  -16  -12   -9   -8   -5   -8  -19
  06 07 30    220   0  -10  -10  -12  -12  -12   -9   -6   -6   -6   -7   -6   -7   -9   -9   -8   -9   -9   -5   -2   -3   -4   -4   -3   1   -7
  06 07 31    220   0   3   4   1   2   9   -2  -11  -10   1   0   5   8   -1   -7  -10   -6   -5   -6  -11  -15  -18  -23  -23  -18   -6
  06 08 01    220   0  -14  -10  -10   -9  -17  -29  -26  -17  -13  -10  -10  -13  -13  -15  -17  -22  -19  -15  -11  -12  -14  -16  -19  -18  -15
  06 08 02    220   0  -15  -10  -12  -15  -19  -18  -16  -16  -17  -17  -17  -22  -23  -21  -19  -17  -17  -20  -18  -16  -11  -11  -16  -24  -17
  06 08 03    220   0  -23  -18  -19  -21  -18  -13  -12  -10  -10  -11  -10  -10   -8   -8   -9  -11  -13  -15  -17  -15  -12  -12  -12  -12  -13
  06 08 04    220   0  -12   -9   -6   -6  -10  -10   -9   -7   -8   -9   -9   -9  -12  -13  -11   -8   -8   -7   -5   -4   -2   -1   -1   1   -7
  06 08 05    220   0   1   -3   -8  -12  -16  -14   -9   -8   -7   -7   -6   -6   -7   -7   -6   -7   -8   -8   -7   -3   1   2   2   2   -6
  06 08 06    220   0   3   2   -1   -4   -3   -1   -3   -1   -3   1   3   3   3   6  11  10   8   8   8  11  11  14  15  15   5
  06 08 07    220   0  21  32  20   4   -2   -8  -22  -48  -47  -37  -37  -40  -42  -39  -39  -40  -38  -36  -35  -35  -37  -38  -35  -32  -25
  06 08 08    220   0  -26  -25  -29  -35  -37  -34  -33  -29  -28  -30  -27  -26  -27  -26  -23  -22  -22  -23  -26  -26  -26  -27  -23  -20  -27
  06 08 09    220   0  -18  -13  -19  -27  -29  -26  -21  -19  -20  -20  -24  -21  -20  -19  -15  -14  -14  -12  -10  -14  -18  -21  -19  -18  -19
  06 08 10    220   0  -17  -16  -18  -20  -22  -20  -18  -16  -15  -14  -12  -12  -11   -8   -7   -8  -10  -11  -12  -11  -12  -17  -18  -17  -14
  06 08 11    220   0  -15  -19  -19  -19  -19  -16  -14  -11   -9  -12  -15  -16  -10   -8   -7  -11  -10   -8   -9  -13  -14  -12  -12   -8  -13
  06 08 12    220   0   -4   -3   -8  -11  -11   -9  -14  -14  -10   -8  -10   -9   -8   -5   -5  -10  -12  -13  -15  -13  -11  -13  -12  -14  -10
  06 08 13    220   0  -14  -14  -14  -15  -14  -12  -11  -10  -10  -10  -10   -9   -5   -4   -5   -5   -4   -3   0   0   -1   -3   -3   0   -7
  06 08 14    220   0   0   1   2   2   3   1   -1   -4   -5   -4   -4   -4   -5   -6   -9  -11  -14  -17  -20  -20  -18  -13  -10   -8   -7
  06 08 15    220   0   -7   -6   -7   -6   -7   -6   -5   -4   -3   1   5   5   4   3   3   4   5  12  18  15  14  10   8   7   3
  06 08 16    220   0   5   2   2   4   3   5   5   5   8  10   9   8  10   9   3   4   5   7   7   6   4   4   3   8   6
  06 08 17    220   0   9  11  12  10   8   5   5  16  21  16  11  12  12  10  11  12  12  11   8   4   3   4   2   3  10
  06 08 18    220   0   4   4   0  -13  -20  -22  -14   -9  -15  -13  -12  -13  -19  -14  -11   -8   -7   -6   -6   -6   -5   -1   3   9   -8
  06 08 19    220   0   7   6   -1   -9  -14  -14   -5   2   2   -4   4   -3   -5   -9  -13  -25  -27  -30  -37  -56  -66  -78  -76  -72  -22
  06 08 20    220   0  -78  -79  -65  -58  -61  -61  -55  -48  -48  -49  -44  -34  -34  -33  -35  -42  -43  -44  -41  -41  -40  -39  -39  -36  -48
  06 08 21    220   0  -30  -29  -30  -35  -40  -39  -37  -37  -39  -39  -35  -32  -33  -32  -32  -33  -28  -30  -34  -34  -32  -34  -33  -29  -34
  06 08 22    220   0  -26  -26  -25  -25  -23  -19  -21  -26  -38  -41  -41  -38  -27  -23  -22  -25  -28  -31  -32  -32  -27  -25  -23  -23  -28
  06 08 23    220   0  -20  -20  -18  -22  -23  -22  -26  -24  -25  -24  -25  -26  -26  -26  -24  -21  -18  -15  -13  -13  -17  -20  -17  -17  -21
  06 08 24    220   0  -19  -20  -17  -16  -15  -16  -14  -12  -15  -14  -13  -10  -11  -12  -15  -17  -17  -18  -18  -19  -20  -20  -18  -15  -16
  06 08 25    220   0  -14  -12  -14  -15  -14  -14  -14  -14  -15  -15  -15  -15  -15  -13  -11   -8   -9   -9   -9   -7   -6   -6   -8  -10  -12
  06 08 26    220   0  -13  -13  -13  -13  -12   -9   -7   -7  -10  -11  -12  -10   -8   -6   -6   -7   -6   -5   -2   -1   0   2   5   7   -7
  06 08 27    220   0   7   4   6   7   4   2   2  11  13   5   -6  -16  -14  -10   -7  -23  -39  -32  -25  -24  -25  -28  -26  -20  -10
  06 08 28    220   0  -21  -22  -27  -28  -31  -26  -22  -25  -28  -28  -26  -24  -20  -19  -16  -14  -13  -14  -13  -13  -12  -15  -19  -19  -21
  06 08 29    220   0  -19  -15  -16  -14  -15  -17  -14  -14  -14  -14  -15  -16  -10   -9   -8   -7   -7   -7   -7   -9   -5   -5   -6   -7  -11
  06 08 30    220   0  -11  -12  -10   -8   -7   -9  -13  -17  -15  -11   -9   -6   -6   -6   -4   -2   1   0   -1   -1   3   7   3   4   -5
  06 08 31    220   0   4   3   6   7  11  12  10   -1   -7  -10  -12   -9   -7   -2   -2   -8  -17  -21  -27  -33  -31  -35  -35  -34  -10
  06 09 01    220   0  -34  -31  -27  -23  -21  -19  -16  -16  -24  -22  -20  -13  -15  -19  -22  -23  -21  -27  -26  -28  -27  -34  -39  -36  -24
  06 09 02    220   0  -27  -25  -25  -25  -27  -25  -21  -18  -15  -13  -12   -7  -12  -15  -13   -9   -7   -8   -8  -14  -19  -20  -16  -11  -16
  06 09 03    220   0  -12  -10  -10  -11  -10   -9   -9   -7  -10  -11  -12   -8   -8   -4   -1   -3   -7   -6   -2   -1   -3   -7   -8   -5   -7
  06 09 04    220   0   3   -6  -14  -23  -36  -45  -37  -38  -38  -38  -36  -32  -25  -20  -17  -19  -19  -23  -28  -27  -24  -26  -31  -34  -26
  06 09 05    220   0  -32  -26  -22  -20  -24  -28  -28  -24  -20  -23  -23  -20  -18  -15  -11  -10  -11  -13  -15  -12  -11  -11  -11  -12  -18
  06 09 06    220   0  -13  -15  -15  -15  -18  -19  -19  -21  -21  -19  -21  -25  -28  -26  -21  -17  -15  -13  -14  -15  -17  -16  -16  -16  -18
  06 09 07    220   0  -16  -16  -15  -12  -12  -13  -14  -15  -14  -12  -11  -11  -14  -17  -19  -19  -17  -17  -19  -18  -15  -14  -12  -11  -15
  06 09 08    220   0  -11  -10   -9   -9  -13  -17  -12   -9   -8   -9   -6   -6   -6  -10   -8   -6   -6   -5   -3   -3   -4   -2   2   4   -7
  06 09 09    220   0   3   1   0   -2   -2   0   0   -2   -4   -3   -1   -1   -2   -3   -2   -1   0   1   2   2   1   -3   -2   -2   -1
  06 09 10    220   0   -4   -6   -5   -2   0   -1   -2   -1   -1   3   4   9  11   9   8   7   5   2   5   3   -3   -1   -4   -4   1
  06 09 11    220   0   -5   -8  -12  -11   -7   -5   -5  -11  -17  -16  -11   -8  -10  -17  -15  -13   -9   -7   -6   -6   -7   -8  -11  -11  -10
  06 09 12    220   0  -11  -11   -6   -4   -1   -1   -6  -10   -8   -9  -10   -7   -6   -9   -7   -5   -4   -4   -6   -3   -2   -3   -4   -6   -6
  06 09 13    220   0   -8  -11   -8  -10  -14  -18  -20  -14  -14  -17  -12  -10  -10  -12  -11  -12  -11  -11  -11   -9   -9  -10  -11  -12  -12
  06 09 14    220   0  -13  -11  -11   -9   -9  -13  -11  -13  -13  -12  -10   -9   -9   -7   -5   -5   -5   -4   -2   0   -3   -5   -7   -9   -8
  06 09 15    220   0  -12   -9   -8   -6   -4   -2   -2   -3   -3   -1   2   2   2   1   1   0   0   3   2   2   4   3   2   1   -1
  06 09 16    220   0   0   -2   -2   -1   -3   -1   2   3   3   3   4   2   2   4   3   0   1   2   -2   -4   -4   -3   -1   0   0
  06 09 17    220   0   1   -2   -4   -2   -3   -7  -12  -14  -14   -9  -16  -17  -15  -14   -9   -5   -4   -2   -6  -19  -31  -24  -17  -13  -11
  06 09 18    220   0  -14  -18  -29  -29  -24  -26  -30  -29  -30  -34  -31  -22  -14  -16  -16  -17  -15  -20  -23  -17  -15  -17  -19  -24  -22
  06 09 19    220   0  -27  -27  -25  -25  -22  -21  -26  -23  -24  -23  -24  -22  -21  -22  -25  -22  -23  -25  -27  -24  -23  -22  -23  -22  -24
  06 09 20    220   0  -20  -19  -19  -21  -23  -21  -20  -20  -19  -19  -17  -15  -15  -16  -15  -15  -15  -18  -18  -17  -15  -16  -16  -15  -18
  06 09 21    220   0  -15  -12  -10   -7   -8  -10  -10   -9  -10  -11  -10  -12   -8   -7   -7   -6   -7   -7   -8   -7   -7   -8  -10   -8   -9
  06 09 22    220   0   -7   -5   -4   -1   0   -2   -1   0   0   0   -1   -3   -1   -1   -1   0   -2   -4   -5   -4   -1   -2   -4   -5   -2
  06 09 23    220   0   -3   -2   -2   0   0   -2   -2   0   1   -2   -7  -10   -8   -4   3   9  12  14   9   0   4   -2   2   1   0
  06 09 24    220   0   4   -7  -15  -23  -46  -38  -45  -51  -51  -55  -48  -37  -33  -26  -22  -20  -19  -22  -23  -21  -18  -17  -18  -17  -28
  06 09 25    220   0  -15  -16  -17  -17  -16  -13  -12  -12  -18  -28  -31  -30  -30  -29  -26  -21  -19  -21  -22  -21  -20  -22  -24  -22  -21
  06 09 26    220   0  -20  -18  -18  -18  -18  -18  -13  -10  -10   -9  -10  -11  -14  -15  -12   -8   -9  -13  -17  -19  -17  -17  -21  -21  -15
  06 09 27    220   0  -20  -22  -19  -19  -18  -14  -12   -9  -10  -13  -13  -13  -11   -8   -8  -13  -12  -13   -9   -8  -10  -13  -16  -15  -13
  06 09 28    220   0  -16  -15  -14  -12   -9   -8   -8   -5   -5   -7  -10   -8   -6   -6   -4   -5   -5   -3   0   1   -2   1   -1   -3   -6
  06 09 29    220   0   2   2   3   2   2   3   2   -3   -3   -4   -2   -2   0   -3   -2   -2   -2   2   1   2   3   2   0   -1   0
  06 09 30    220   0   -1   2   9  12   -3  -16  -21  -12   -5   -4  -14  -16   -7   -4   1   3   5   1   -7   -8   -9  -13  -16  -17   -6
  06 10 01    220   0  -25  -36  -44  -47  -50  -51  -49  -45  -40  -35  -38  -34  -38  -43  -40  -31  -31  -30  -29  -27  -25  -22  -22  -22  -36
  06 10 02    220   0  -18  -11  -11  -14  -17  -19  -16  -15  -15  -18  -21  -19  -15  -10  -10  -12  -14  -18  -22  -23  -23  -21  -21  -20  -17
  06 10 03    220   0  -20  -17  -17  -18  -19  -19  -18  -14  -12  -11  -12   -9   -9  -11  -13  -15  -14  -11   -4   -4   -6   -7  -10  -12  -13
  06 10 04    220   0  -14  -15  -15  -16  -17  -15  -12  -12  -11  -13  -13  -11   -9   -9  -11  -12  -14  -12   -9  -10  -10  -10  -10  -12  -12
  06 10 05    220   0  -15  -16  -17  -16  -14  -12  -12  -13  -10   -9   -9   -9  -11  -10  -11  -11  -11  -12  -14  -15  -12   -8   -7   -8  -12
  06 10 06    220   0   -7   -6   -4   -3   -2   -4   -5   -6   -7   -8   -7   -8   -8   -8   -6   -3   -2   -2   -2   -3   -4   -4   -3   -1   -5
  06 10 07    220   0   -1   -1   -1   -1   2   0   -1   1   0   -1   -1   -1   4   8  11  13   4   -6   -3   4   5   -5  -17  -26   -1
  06 10 08    220   0  -23  -19  -16  -15  -13  -12  -10   -6   -8  -17  -21  -17  -17  -18  -17  -15  -16  -14  -12  -11  -14  -15  -14  -15  -15
  06 10 09    220   0  -14  -11  -10  -12  -14  -13  -11  -11  -11  -12  -10   -9   -9   -9   -8   -8   -5   -3   -2   -3   -5   -3   -2   -4   -8
  06 10 10    220   0   -3   -3   -5   -5   -5   -5   -5   -5   -5   -7   -7   -4   -2   -3   -5   -6   -6   -5   -4   -5   -5   -4   -3   -3   -5
  06 10 11    220   0   -4   -2   -4   -3   -2   -3   1   2   3   5   6   3   0   0   -2   -3   -3   -4   -4   -4   -4   -1   -1   -4   -1
  06 10 12    220   0   -6   -5   -2   0   -3   -5   -3   1   1   2   0   5   7   3   -3   -4   -3   -4   -3   -4   -4   -4   -5  -10   -2
  06 10 13    220   0  -17  -17  -17  -17  -17  -14  -19  -21  -42  -48  -35  -21  -20  -24  -24  -29  -27  -26  -24  -36  -22  -43  -55  -55  -28
  06 10 14    220   0  -53  -51  -49  -46  -50  -44  -38  -35  -28  -26  -29  -23  -23  -22  -24  -27  -35  -39  -37  -29  -27  -38  -39  -40  -36
  06 10 15    220   0  -34  -34  -35  -40  -37  -35  -29  -25  -22  -20  -16  -19  -18  -19  -21  -23  -23  -26  -24  -23  -22  -22  -23  -22  -26
  06 10 16    220   0  -22  -22  -21  -22  -24  -26  -27  -24  -23  -23  -22  -22  -22  -23  -24  -24  -21  -20  -17  -14  -12  -15  -15  -15  -21
  06 10 17    220   0  -16  -17  -19  -19  -20  -20  -16  -13  -13  -14  -13  -10  -11  -12  -12  -13  -13  -13  -13  -15  -15  -14  -12  -13  -14
  06 10 18    220   0  -14  -16  -18  -20  -21  -20  -15  -11  -10   -9   -8   -7   -8   -8   -8   -9  -10   -9   -9   -8   -7   -5   -4   -4  -11
  06 10 19    220   0   -3   -4   -6   -5   -9   -8   -7   -7   -5   -4   -5   -3   -3   -1   0   -1   -1   -2   -1   0   0   2   5   8   -3
  06 10 20    220   0  16   9   7   6   4   7  13  18  10  11   1   4   5   1   2   9   -3   -7   -2   -9   -7  -14  -14  -16   2
  06 10 21    220   0  -13  -20  -23  -28  -28  -28  -28  -27  -22  -15  -15  -14  -14  -12  -12  -15  -19  -24  -21  -19  -18  -20  -20  -18  -20
  06 10 22    220   0  -16  -16  -18  -22  -27  -30  -31  -27  -22  -20  -17  -15  -15  -12  -15  -22  -20  -18  -25  -25  -25  -25  -24  -20  -21
  06 10 23    220   0  -17  -15  -14  -16  -17  -16  -15  -13  -10   -8   -8   -9   -9  -10  -11  -14  -14   -8   -6   -8  -10  -10   -9   -7  -11
  06 10 24    220   0   -5   -5   -7  -10  -12  -16  -22  -23  -24  -19  -14   -9   -8   -8   -9   -8   -6   -6  -10  -10   -5   -5   -7   -5  -11
  06 10 25    220   0   -5   -7  -10   -9   -7   -5  -11  -11  -12  -11  -10   -7   -8   -8  -10  -13  -14  -15  -15  -12  -12  -13  -15  -15  -11
  06 10 26    220   0  -14  -12  -12  -15  -14  -14  -16  -16  -16  -13  -11   -9   -9   -7   -6   -7   -7   -6   -5   -2   -2   -3   -5   -5   -9
  06 10 27    220   0   -5   -4   2   6   6   8   8   7   7  10  12  13  11   9   6   3   1   -3   -3   2   1   4   3   -7   4
  06 10 28    220   0   -8   -6   -6   -4  -14  -19  -19  -18  -11   -7  -10   -9   -7   -6   0   -6  -13  -15  -13  -16  -14  -20  -35  -27  -13
  06 10 29    220   0  -23  -19  -37  -44  -43  -42  -45  -47  -50  -40  -40  -36  -33  -33  -38  -38  -34  -30  -23  -26  -27  -24  -26  -30  -35
  06 10 30    220   0  -32  -32  -31  -30  -30  -31  -28  -25  -25  -26  -22  -23  -25  -27  -27  -29  -30  -26  -25  -21  -18  -18  -19  -22  -26
  06 10 31    220   0  -22  -24  -25  -26  -26  -25  -25  -23  -21  -20  -15  -12  -13  -15  -19  -24  -25  -25  -24  -22  -21  -21  -19  -21  -21
  06 11 01    220   0  -20  -17  -19  -21  -25  -24  -22  -22  -20  -21  -18  -14  -12  -11   -9   -9  -13  -17  -15  -15  -14  -17  -19  -24  -17
  06 11 02    220   0  -25  -26  -26  -28  -27  -27  -24  -23  -22  -23  -22  -19  -18  -17  -17  -21  -22  -26  -26  -26  -26  -23  -27  -28  -24
  06 11 03    220   0  -24  -22  -24  -23  -22  -18  -21  -23  -25  -21  -13  -12   -7  -10  -10  -11  -12  -10   -6   -3   -3   -2   -1   1  -13
  06 11 04    220   0   3   2   -3  -11  -13  -19  -19  -22  -17  -14  -14  -12  -11   -9   -8  -11  -15  -17  -16  -15  -16  -17  -18  -13  -13
  06 11 05    220   0   -9   -9  -11  -10  -11  -14  -15  -14  -15  -13  -16  -20  -22  -16  -12  -13  -14  -13  -14  -17  -17  -16  -14  -12  -14
  06 11 06    220   0   -8   -7   -7   -6   -6   -8  -11  -12  -10   -6   -5   -4   -5   -4   -3   -3   -6   -6   -6   -5   -7   -6   -4   -2   -6
  06 11 07    220   0   -1   -2   -3   -3   -5   -7   -6   -5   -7   -8   -7   -7   -8   -8   -7   -5   -5   -4   -3   -2   -4   -3   -4   -4   -5
  06 11 08    220   0   -5   -5   -5   -2   -1   0   0   4   5   4   4   4   4   5   6   4   3   3   4   4   4   3   1   -2   2
  06 11 09    220   0   -3   -3   -4   -6   -5   -5   -4   -2   0   3   6   8   8  19  26  25  31  31  25   3   3   -2  -20  -46   4
  06 11 10    220   0  -59  -63  -63  -55  -50  -53  -59  -59  -47  -39  -42  -48  -48  -42  -42  -39  -40  -34  -34  -33  -27  -27  -23  -21  -44
  06 11 11    220   0  -25  -32  -34  -32  -31  -37  -48  -43  -32  -35  -34  -34  -28  -29  -31  -28  -27  -27  -25  -22  -21  -22  -23  -25  -30
  06 11 12    220   0  -27  -29  -29  -30  -27  -26  -27  -27  -25  -24  -25  -21  -19  -20  -20  -19  -18  -18  -18  -18  -18  -20  -24  -25  -23
  06 11 13    220   0  -26  -26  -27  -26  -25  -23  -22  -20  -16  -15  -15  -17  -20  -21  -19  -16  -17  -16  -16  -15  -12   -9   -9   -8  -18
