  05 12 04    220   0 -13 -12 -13 -13 -15 -17 -18 -15 -12 -11 -11 -10 -10  -8 -10 -11 -13  -9  -8  -8  -6  -7  -7  -6 -11
  05 12 05    220   0  -5  -4  -5  -6 -10 -12 -13 -11  -7  -3  -4  -6  -8  -9  -9  -8  -9  -7  -1  -1   3   3   5   5  -5
  05 12 06    220   0   6   3   3   2   1  -1  -3  -1   0   0  -3  -6  -6  -4  -2  -2  -1  -1  -2  -2  -2   0  -1  -1  -1
  05 12 07    220   0  -2  -4  -4  -2  -1   0   1   1   2   4   3   1   3   2   0  -2  -1   0   2   4   4   3   1   0   1
  05 12 08    220   0  -1  -3  -3  -5  -3  -1   0   1   3   4   4   5   6   7   9  10   9   8   6   3   0  -3  -5  -7   2
  05 12 09    220   0  -7  -7  -5  -3  -1  -1   0   0   2   3   3   4   2   2   6   6   6  13  19  26  23   7   0  -5   4
  05 12 10    220   0  -5  -8 -14 -13 -18 -23 -28 -23 -15 -13 -12 -14 -14 -15 -12 -10  -9  -4  -2 -10 -16 -10 -16 -14 -13
  05 12 11    220   0 -12 -13 -18 -22 -26 -28 -29 -23 -29 -43 -48 -42 -35 -34 -31 -35 -40 -44 -55 -49 -44 -41 -46 -41 -35
  05 12 12    220   0 -34 -31 -35 -36 -37 -42 -43 -41 -37 -34 -33 -33 -33 -30 -30 -32 -38 -37 -32 -37 -42 -36 -32 -26 -35
  05 12 13    220   0 -25 -26 -24 -26 -25 -26 -28 -29 -29 -27 -23 -20 -20 -22 -20 -18 -20 -19 -16 -17 -17 -16 -14 -11 -22
  05 12 14    220   0 -12 -13  -9  -7 -10 -12 -16 -16 -14 -13 -12 -15 -13 -11 -11 -13 -16 -15 -12 -11  -6  -5  -5  -7 -11
  05 12 15    220   0  -3  -4  -6  -6  -7  -7  -7  -7  -9  -9  -6  -3  -8  -9  -8  -7  -7  -6  -6  -6  -6  -6  -6  -4  -6
  05 12 16    220   0  -1   1   1  -2  -3   5   4   9   0  -4  -4   0   2   2   0  -2  -8  -9  -4   3   2   0   1   4   0
  05 12 17    220   0   5   5   4   2  -1  -2   1   1  -1  -3  -7  -8  -8  -6  -1  -3  -6  -7  -4  -1   3  10  15  15   0
  05 12 18    220   0  12  11  14  13  12  11   8   5   5   5   2   9  13  14  16  13   9  12  15  16  19  26  29  24  13
  05 12 19    220   0  16  13  10   6   7   6   3   1   3  11   9   8  -2  -3   0  10  16   3   1  -4  -2   1   2  -2   5
  05 12 20    220   0  -6  -8 -18 -25 -24 -22 -27 -26 -25 -22 -19 -16 -17 -22 -18 -18 -19 -20 -17 -12 -22 -20 -18 -16 -19
  05 12 21    220   0 -14 -13 -13 -13 -13 -15 -18 -23 -22 -19 -14 -11 -18 -18 -17 -17 -16 -17 -14 -16 -14 -10  -7  -6 -15
  05 12 22    220   0  -6  -9  -6  -2   0  -3  -8  -9 -13 -15 -12  -7  -6  -8  -6  -5  -4  -3  -5  -5  -5  -3  -2  -2  -6
  05 12 23    220   0  -2   0   1   1   3   2   1   0   2   1   0   2   2  -2  -3  -4  -6  -5  -3  -1   2   3   4   5   0
  05 12 24    220   0   6   7   6   5   5   7   8   9   8  10  10   1  -4  -6  -7  -3  -8 -12 -11  -9  -9  -6  -4   0   0
  05 12 25    220   0   4   3  -1   1   8   6   3  -5 -14 -17 -18 -14 -15 -19 -21 -22 -21 -17 -14 -12 -10  -8  -7  -6  -9
  05 12 26    220   0  -6  -4  -3  -2  -5  -7  -8  -6  -5  -2   2   3   3  -5 -13 -14 -11  -4  -1   0   1   3  -4  -9  -4
  05 12 27    220   0  -3   0   2   3   3   1  -2  -3  -1   1  10  18  16  22  33   5 -13 -31 -39 -21 -14 -24 -29 -18  -4
  05 12 28    220   0 -12 -15 -17 -18 -23 -25 -23 -23 -25 -31 -27 -25 -24 -18 -21 -18 -20 -23 -23 -19 -27 -26 -26 -22 -22
  05 12 29    220   0 -12  -9  -8  -8 -10 -13 -20 -28 -31 -31 -29 -24 -22 -23 -21 -20 -27 -27 -23 -16 -13 -14 -12  -9 -19
  05 12 30    220   0  -5  -3  -3  -7  -6  -7  -8 -13 -17 -19 -17 -12  -7  -5  -5  -9 -17 -21 -19 -17 -15 -14 -15 -13 -11
  05 12 31    220   0  -7   1   3   3   1  -1  -1  -7 -12 -13 -16  -9  -2   8  20   0 -18 -28 -30 -28 -29 -30 -26 -24 -10
  06 01 01    220   0 -19 -12 -12 -12 -14 -10 -10 -10  -7  -6   0   3   5   3  16  21  20  21  21  21  19  14  11   9   3
  06 01 02    220   0   9  -1  -1  -2  15  18   9  -3 -15 -17 -14  -7  -3  -1   1   0   2   1   0  -3   1   8   7   0   0
  06 01 03    220   0   0   1  -1  -3  -1   0   1   0   0  -1  -1   1  -1  -6  -6  -5  -5  -3  -2  -4  -7 -10 -14 -14  -3
